Freq(cm-1)  IR_numerical  IR_gaussian  Diff
1367.42085  22.21071  22.20549  -0.00522
1367.42116  22.19717  22.20484  0.00767
1367.46945  22.21136  22.20541  -0.00595
1565.84433  0.0       0.0       0.0
1565.84841  0.0       0.0       0.0
2973.41828  0.0       0.0       0.0
3090.2097   35.05061  35.05596  0.00535
3090.21355  35.06284  35.05658  -0.00626
3090.21639  35.0591   35.05484  -0.00426
